codReg,tipoStazione,dettZoomStaz,pstaz,mappaCitta,codiceStazione,codStazione,lat,lon,latMappaCitta,lonMappaCitta,localita,esterno,offsetX,offsetY,nomeCitta
9,3,,,|,S02307,S02307,46.007384,11.240713,0,0,CALCERANICA|Calceranica||S02307,false,0,0,A
9,3,,,|,S02103,S02103,46.814822,11.723079,0,0,VANDOIES|Vandoies||S02103,false,0,0,A
9,3,,,|,S02003,S02003,46.056242,11.13624,0,0,TRENTO S.CHIARA|Trento S.Chiara||S02003,false,0,0,A
9,3,,,|,S02102,S02102,46.79712,11.670028,0,0,RIO DI PUSTERIA|Rio di Pusteria||S02102,false,0,0,A
9,3,,,|,S02034,S02034,46.245842,11.202681,0,0,SALORNO|Salorno||S02034,false,0,0,A
9,3,,,|,S02219,S02219,46.608079,11.182252,0,0,LANA-POSTAL |Lana-Postal||S02219,false,0,0,A
9,3,,,|,S02006,S02006,46.895732,11.440206,0,0,VIPITENO|Vipiteno||S02006,false,0,0,A
21,4,S02026|8|9|true|true|true|true|null|S02026|10|11|true|true|true|true|null,,|,S02026,S02026,46.496346,11.358556,0,0,BOLZANO |Bolzano|Bolzano|S02026,true,0,0,Bolzano 
21,3,S02313|8|9|true|true|true|true|null|S02313|10|11|true|true|true|true|null,,|,S02313,S02313,46.051182,11.453967,0,0,BORGO VALSUGANA CENTRO|Borgo Valsugana||S02313,false,-4,18,Borgo Valsugana
21,4,S02052|8|9|true|true|true|true|null|S02052|10|11|true|true|true|true|null,,|,S02052,S02052,45.658402,10.900314,0,0,PERI|Peri||S02052,true,28,20,Peri
21,3,S02044|8|9|true|true|true|true|null|S02044|10|11|true|true|true|true|null,,|,S02044,S02044,45.890985,11.033518,0,0,ROVERETO|Rovereto||S02044,false,58,20,Rovereto
21,1,S02038|8|9|true|true|true|true|null|S02038|10|11|true|true|true|true|null,,|,S02038,S02038,46.072414,11.118941,0,0,TRENTO|Trento|Trento|S02038,false,44,20,Trento
21,4,S02319|8|9|true|true|true|true|null|S02319|10|11|true|true|true|true|null,,|,S02319,S02319,45.965315,11.700899,0,0,PRIMOLANO|Primolano||S02319,true,-4,10,Primolano
