@id,@lat,@lon,name,place,ele
64776484,46.0664228,11.1257601,Trento,city,194
64776491,46.0252962,10.8388732,Santa Croce,village,
64776492,46.0531920,11.4561278,Borgo Valsugana,village,
64776494,46.0018030,11.2231830,Bosentino,village,
64776502,45.9787660,11.0697807,Cimone,village,
64776507,46.1111194,11.3184352,Fierozzo - Vlarötz,village,
64776512,46.1563433,11.1525627,Verla,village,
64776518,46.1442060,11.2195800,Lases,village,
64776525,46.4008430,10.8449395,Rabbi,village,
64776529,46.4148130,11.1777740,Ruffrè,village,
64776536,46.4426498,11.0165571,Marcena,village,
64776541,46.1081377,11.3027058,Sant'Orsola Terme,village,
64776544,46.2653080,11.0879750,Vigo di Ton,village,
64776550,46.2468833,11.3486732,Valfloriana,village,
64776551,46.0444545,11.2776917,Vignola Falesina,village,
64776554,46.2969050,10.6913650,Vermiglio,village,
64776555,46.1449060,11.1934790,Albiano,village,
64776561,46.0529769,11.5288071,Agnedo,village,
64776563,46.1655080,11.2998820,Bedollo,village,
64776567,46.1302020,10.7574700,Caderzone Terme,village,
64776574,46.3653890,10.9425799,Caldes,village,
64776576,45.9915227,11.2621326,Caldonazzo,village,
64776579,46.3943110,11.0411710,Cagnò,village,
64776581,46.0467020,10.9850770,Calavino,village,
64776584,46.1548531,11.7330870,Canal San Bovo,village,
64776586,46.4768809,11.7710748,Canazei,village,
64776588,46.4761678,11.7415253,Campitello di Fassa,village,
64776591,46.2578266,11.0331998,Campodenno,village,
64776593,46.0641754,11.6321708,Castello Tesino,village,
64776596,45.9143950,10.6027700,Castel Condino,village,
64776599,46.1687756,10.7591591,Carisolo,village,
64776600,46.2619126,11.3385837,Capriana,village,
64776603,46.3508100,11.0887730,Coredo,village,
64776605,45.9118950,10.6128545,Cimego,village,
64776608,46.4084120,11.1380730,Cavareno,village,
64776611,46.2911870,11.4604681,Cavalese,village,
64776612,46.3516068,10.9128757,Malé,village,
64776615,46.1605669,11.1870325,Lisignago,village,
64776617,46.3628864,10.6732435,Peio,village,
64776619,46.3443638,10.9046243,Croviana,village,
64776620,46.1547120,11.8079930,Mezzano,village,
64776621,46.3173162,10.8010074,Mezzana,village,
64776622,46.1417556,10.7731340,Massimeno,village,
64776623,46.4365287,11.1435230,Malosco,village,
64776627,46.0435692,11.5529585,Ospedaletto,village,
64776629,46.3064533,10.7377007,Ossana,village,
64776630,46.0621020,10.9888760,Padergnone,village,
64776634,46.2856525,11.5425874,Panchià,village,
64776635,46.2120936,11.0935086,Mezzolombardo,village,
64776637,46.3769434,11.6592663,Moena,village,
64776641,46.3144754,11.0480288,Nanno,village,
64776644,46.3918110,11.0596720,Revò,village,
64776647,46.3939973,11.1202732,Romeno,village,
64776649,46.1929070,11.1335770,San Michele all'Adige,village,
64776653,46.4187281,11.1407924,Sarnonico,village,
64776654,45.8895970,10.9500790,Ronzo-Chienis,village,
64776656,46.0885000,10.7238700,Pelugo,village,
64776659,46.0605291,11.2406747,Pergine Valsugana,town,
64776660,46.0462365,10.7582682,Preore,village,
64776663,46.2368070,11.0302740,Sporminore,village,
64776666,46.2217090,11.3156810,Sover,village,
64776667,46.0663040,11.5230655,Strigno,village,
64776672,46.3371552,11.1157568,Sfruz,village,
64776677,46.3946069,11.6661676,Soraga di Fassa,village,
64776679,46.3431100,11.1097740,Smarano,village,
64776680,46.1816875,11.8404899,Tonadico,village,
64776683,45.8883950,10.6694720,Tiarno di Sopra,village,
64776685,46.3289090,11.0229720,Tuenno,village,
64776687,46.0743070,11.4497870,Torcegno,village,
64776690,46.0157030,11.2642830,Tenna,village,
64776692,46.3205899,11.0668144,Taio,village,
64776693,46.3616048,10.9260882,Terzolas,village,
64776696,45.9187970,10.8327750,Tenno,village,
64776698,46.2865173,11.5659762,Ziano di Fiemme,village,
64776705,45.9171787,11.0608033,Volano,village,
64776707,46.3083925,11.1196013,Vervò,village,
64776710,46.0787914,10.9994069,Vezzano,village,
64776712,46.3035575,11.4559989,Varena,village,
64776715,45.9933668,11.2193060,Vattaro,village,
64776723,46.3263191,10.8746528,Dimaro,village,
64776725,46.3009636,11.4474653,Daiano,village,
64776728,46.4047120,11.0930720,Dambel,village,
64776731,46.2864080,11.0345730,Cunevo,village,
64776733,46.4230730,11.1488994,Ronzone,village,
64776737,45.9835968,10.6709534,Roncone,village,
64776739,46.0684060,11.4351860,Ronchi Valsugana,village,
64776742,46.0251010,10.9830770,Lasino,village,
64776749,46.2208416,11.2940800,Grumes,village,
64776752,45.7337930,10.9371810,Avio,village,
64776755,45.9180319,10.8860765,Arco,town,
64776757,46.1661363,11.0034020,Andalo,village,
64776761,46.3954120,11.1467740,Amblar,village,
64776762,45.9767795,11.0908573,Aldeno,village,
64776767,46.0536000,10.7772720,Ragoli,village,
64776768,46.2499881,11.1693479,Roverè della Luna,village,
64776770,46.0042410,11.2428830,Calceranica al Lago,village,
64776774,46.4309755,11.1082429,Brez,village,
64776776,46.2917611,11.4396907,Carano,village,
64776780,46.4557130,11.1167720,Castelfondo,village,
64776781,46.0703249,11.4933434,Carzano,village,
64776783,46.1852103,11.0314805,Cavedago,village,
64776787,46.0528587,11.4932817,Castelnuovo,village,
64776793,46.0806791,11.5540415,Bieno,village,
64776795,45.8969363,10.7177233,Bezzecca,village,697
64776797,46.0002980,10.6919710,Bondo,village,
64776800,46.1191034,10.7588619,Bocenago,village,
64776803,45.8062305,10.5515367,Bondone,village,
64776805,46.4189120,11.0868720,Cloz,village,
64776807,45.8892835,10.6008367,Condino,village,
64776810,46.0752000,10.7180700,Darè,village,
64776812,46.2750080,11.0490740,Denno,village,
64776814,46.3896623,11.1366070,Don,village,
64776816,45.9692990,10.9444770,Drena,village,
64776818,45.9614710,10.9111105,Dro,village,
64776820,46.1922976,11.1618628,Faedo,village,
64776824,45.9952000,10.9735770,Cavedine,village,
64776826,46.3675013,10.9579230,Cavizzana,village,
64776828,46.1744128,11.2205888,Cembra,village,
64776832,46.0568247,11.6147665,Cinte Tesino,village,
64776834,46.3991870,11.0029605,Cis,village,
64776836,46.0893670,11.1800260,Civezzano,village,
64776838,46.3652616,11.0332447,Cles,village,
64776843,46.3972110,11.0661720,Romallo,village,
64776844,45.8847708,10.8396942,Riva del Garda,town,
64776848,46.1484401,10.7694794,Giustino,village,
64776850,46.0644655,11.5059309,Scurelle,village,
64776852,46.3659309,11.0744593,Sanzeno,village,
64776853,46.0766020,10.9084740,San Lorenzo in Banale,village,
64776856,46.0816070,11.5225880,Samone,village,
64776858,46.2994447,11.0304878,Flavon,village,
64776860,46.1770955,11.8294692,Fiera di Primiero,village,
64776863,46.1813070,11.2372800,Faver,village,
64776865,46.1793313,11.0689304,Fai della Paganella,village,
64776866,46.0884823,11.2965370,Frassilongo - Garait,village,
64776869,46.1181956,11.2065014,Fornace,village,
64776871,46.4400263,11.1365613,Fondo,village,
64776873,45.9149727,11.1730150,Folgaria,village,
64776875,46.3093118,11.0223784,Terres,village,
64776877,46.2904160,11.5119770,Tesero,village,
64776879,46.0713520,11.4716722,Telve di Sopra,village,
64776883,46.0980752,11.0461616,Terlago,village,
64776887,46.1736285,11.8337247,Transacqua,village,
64776888,46.3231100,11.0968740,Tres,village,
64776892,45.8936683,10.6864899,Tiarno di Sotto,village,
64776898,46.0363045,10.7269092,Tione di Trento,village,
64776900,46.1036010,10.7393700,Spiazzo,village,
64776903,46.2177519,11.0482682,Spormaggiore,village,
64776905,46.1886647,11.8307666,Siror,village,
64776913,46.0701645,11.5093252,Spera,village,
64776917,46.3359316,11.0508480,Tassullo,village,
64776918,46.0713276,11.4795917,Telve,village,
64776921,46.0521680,10.8540886,Stenico,village,
64776927,46.4047110,11.0192710,Livo,village,
64776930,45.8713002,10.7755659,Molina di Ledro,village,657
64776932,46.2154357,11.1207858,Mezzocorona,village,
64776937,46.1510601,11.7963031,Imer,village,
64776939,46.0099722,11.2988278,Levico Terme,village,
64776941,46.1397416,11.1102267,Lavis,village,
64776943,46.1520425,11.0962106,Zambana,village,
64776948,46.0617000,10.7110700,Villa Rendena,village,
64776950,46.0170354,11.6359415,Grigno,village,
64776954,46.4204045,11.6726135,Vigo di Fassa,village,
64776957,46.2071570,11.2665573,Valda,village,
64776961,46.0799000,10.7219700,Vigo Rendena,village,
64776962,46.4302623,11.6867947,Pozza di Fassa,village,
64776969,45.9350167,10.6319595,Prezzo,village,
64776971,45.8901489,10.7319906,Pieve di Ledro,village,660
64776973,46.0693085,11.6080910,Pieve Tesino,village,843
