"Description","Elevation","Latitude","Longitude"
"Fiemme_Fassa_trk 103",850.1,46.275045,11.438059
"Fiemme_Fassa_trk 104",850.7,46.275096,11.438191
"Fiemme_Fassa_trk 105",850.0,46.275174,11.438299
"Fiemme_Fassa_trk 106",846.7,46.275316,11.438396
"Fiemme_Fassa_trk 107",843.6,46.275432,11.438453
"Fiemme_Fassa_trk 108",842.6,46.275511,11.438547
"Fiemme_Fassa_trk 109",839.9,46.27567,11.43871
"Fiemme_Fassa_trk 110",837.0,46.275801,11.438872
"Fiemme_Fassa_trk 111",833.7,46.275941,11.43906
"Fiemme_Fassa_trk 112",832.6,46.276001,11.439192
"Fiemme_Fassa_trk 113",831.7,46.276061,11.439325
"Fiemme_Fassa_trk 114",830.7,46.276122,11.439457
"Fiemme_Fassa_trk 115",829.2,46.276242,11.439748
"Fiemme_Fassa_trk 116",829.4,46.276345,11.439947
"Fiemme_Fassa_trk 117",829.7,46.276441,11.44012
"Fiemme_Fassa_trk 118",829.8,46.276562,11.44032
"Fiemme_Fassa_trk 119",829.7,46.276641,11.440441
"Fiemme_Fassa_trk 120",828.8,46.276763,11.440628
"Fiemme_Fassa_trk 121",828.2,46.276852,11.440684
"Fiemme_Fassa_trk 122",826.8,46.277039,11.440757
"Fiemme_Fassa_trk 123",825.3,46.277316,11.440873
"Fiemme_Fassa_trk 124",824.7,46.277404,11.440955
"Fiemme_Fassa_trk 125",823.9,46.277536,11.441103
"Fiemme_Fassa_trk 126",823.0,46.27764,11.441264
"Fiemme_Fassa_trk 127",822.6,46.277744,11.441463
"Fiemme_Fassa_trk 128",822.5,46.277856,11.441715
"Fiemme_Fassa_trk 129",823.3,46.277967,11.441979
"Fiemme_Fassa_trk 130",824.3,46.278087,11.44227
"Fiemme_Fassa_trk 131",824.6,46.27818,11.442521
"Fiemme_Fassa_trk 132",824.4,46.278239,11.442731
"Fiemme_Fassa_trk 133",824.5,46.278313,11.443046
"Fiemme_Fassa_trk 134",825.7,46.278379,11.443334
"Fiemme_Fassa_trk 135",826.6,46.278411,11.443544
"Fiemme_Fassa_trk 136",827.4,46.278415,11.443738
"Fiemme_Fassa_trk 137",828.3,46.278429,11.443921
"Fiemme_Fassa_trk 138",829.5,46.278485,11.444274
"Fiemme_Fassa_trk 139",830.7,46.278488,11.444559
"Fiemme_Fassa_trk 140",831.9,46.278485,11.444676
"Fiemme_Fassa_trk 141",833.8,46.278508,11.444885
"Fiemme_Fassa_trk 142",835.4,46.278539,11.445107
"Fiemme_Fassa_trk 143",838.1,46.278525,11.445327
"Fiemme_Fassa_trk 144",840.9,46.27852,11.445573
"Fiemme_Fassa_trk 145",844.5,46.278489,11.445793
"Fiemme_Fassa_trk 146",846.9,46.278484,11.445987
"Fiemme_Fassa_trk 147",848.9,46.278506,11.446235
"Fiemme_Fassa_trk 148",849.3,46.278536,11.446522
"Fiemme_Fassa_trk 149",850.8,46.278554,11.446938
"Fiemme_Fassa_trk 150",851.2,46.27856,11.447055
"Fiemme_Fassa_trk 151",851.3,46.278566,11.447224
"Fiemme_Fassa_trk 152",852.2,46.278544,11.447405
"Fiemme_Fassa_trk 153",854.8,46.278459,11.447596
"Fiemme_Fassa_trk 154",855.4,46.278441,11.447608
"Fiemme_Fassa_trk 155",856.3,46.278402,11.44771
"Fiemme_Fassa_trk 156",856.5,46.278381,11.447891
"Fiemme_Fassa_trk 157",856.5,46.278413,11.448048
"Fiemme_Fassa_trk 158",857.0,46.278486,11.448428
"Fiemme_Fassa_trk 159",857.0,46.278527,11.448624
"Fiemme_Fassa_trk 160",857.6,46.27854,11.448858
"Fiemme_Fassa_trk 161",856.3,46.278605,11.449173
"Fiemme_Fassa_trk 162",853.3,46.278708,11.449411
"Fiemme_Fassa_trk 163",850.6,46.278803,11.449597
"Fiemme_Fassa_trk 164",848.1,46.278907,11.449796
"Fiemme_Fassa_trk 165",845.5,46.279028,11.450009
"Fiemme_Fassa_trk 166",843.5,46.279148,11.450274
"Fiemme_Fassa_trk 167",842.2,46.279242,11.450525
