"Id del ";"Strada ";"Comune ";"Km da ";"Km a "
349;"SS 612";"CASTELLO-MOLINA DI FIEMME";41.235;42.04
348;"SS 612";"CASTELLO-MOLINA DI FIEMME";42.04;43.446
463;"SP 78";"CASTELLO TESINO";14.092;14.592
465;"SP 79";"CASTELLO TESINO";43.25;44.348
464;"SP 75";"CASTELLO TESINO";9.749;11.252
466;"SP 212";"CASTELLO TESINO";3.846;4.45
506;"SP 41";"CASTELNUOVO";0.0;0.762
507;"SP 109";"CASTELNUOVO";0.42;1.805
505;"SP 31";"CASTELNUOVO";0.0;0.69
171;"SP 126 dir";"CAVALESE";0.973;1.728
29;"SS 620";"CAVALESE";21.828;22.844
28;"SS 48";"CAVALESE";22.75;24.902
520;"SP 26";"CAVARENO";0.0;0.8
519;"SS 43 rac";"CAVARENO";0.0;0.2
518;"SS 43 dir";"CAVARENO";11.75;13.04
30;"SS 43 dir";"CAVARENO";11.75;13.04
31;"SS 43 rac";"CAVARENO";0.0;0.2
521;"SP 229";"CAVARENO";0.0;0.11
172;"SP 26";"CAVARENO";0.0;0.8
32;"SS 421";"CAVEDAGO";9.3;10.9
175;"SP 84";"CAVEDINE";9.08;9.84
174;"SP 84";"CAVEDINE";8.1;8.52
176;"SP 84";"CAVEDINE";11.15;11.73
173;"SP 38";"CAVIZZANA";1.67;1.84
177;"SP 96";"CEMBRA";0.0;0.45
33;"SS 612";"CEMBRA";13.765;15.349
178;"SP 70";"CIMEGO";0.322;1.17
456;"SP 25";"CIMONE";3.87;4.28
614;"SP 57";"CIS";1.25;1.965
338;"SP 73";"CLES";16.1;17.923
351;"SS 43";"CLES";3.8;7.01
581;"SS 42";"CLOZ";200.05;201.73
648;"SP 213 dir Lundo";"COMANO TERME";1.282;1.495
641;"SP 5";"COMANO TERME";2.98;3.321
637;"SS 421";"COMANO TERME";41.866;42.38
644;"SP 213";"COMANO TERME";0.19;2.8
639;"SP 5";"COMANO TERME";2.046;2.548
640;"SP 5";"COMANO TERME";2.55;2.742
638;"SP 5";"COMANO TERME";0.9;1.635
647;"SP 213 dir Comano";"COMANO TERME";1.115;1.4
636;"SS 421";"COMANO TERME";39.82;40.64
646;"SP 213 dir Comano";"COMANO TERME";0.0;0.48
365;"SS 237";"COMANO TERME";98.07;100.155
691;"SS 421";"COMANO TERME";39.82;40.64
643;"SP 213";"COMANO TERME";0.0;0.154
645;"SP 213";"COMANO TERME";6.0;6.609
642;"SP 33";"COMANO TERME";0.0;0.01
182;"SP 119";"CONCEI";2.405;2.947
179;"SP 119";"CONCEI";0.745;1.53
180;"SP 119 dir";"CONCEI";0.0;0.11
181;"SP 119";"CONCEI";1.733;2.155
184;"SP 123";"CONDINO";0.0;0.4
183;"SP 123 sv";"CONDINO";0.0;2.7
185;"SP 7";"COREDO";2.8;5.1
421;"SP 201";"CROVIANA";2.365;3.54
187;"SP 73";"CUNEVO";5.1;6.2
186;"SP 67";"CUNEVO";11.31;11.967
486;"SP 126";"DAIANO";3.305;4.279
462;"SP 126";"DAIANO";3.4;4.279
485;"SS 620";"DAIANO";20.4;21.0
461;"SS 620";"DAIANO";20.4;21.0
199;"SP 24";"DAMBEL";4.882;5.53
517;"SP 27 dir";"DAONE";0.0;0.335
516;"SP 27";"DAONE";3.884;4.95
188;"SP 27";"DAONE";3.884;4.9
189;"SP 73";"DENNO";2.128;3.93
425;"SS 239";"DIMARO";7.555;7.9
423;"SS 239";"DIMARO";0.0;0.79
422;"SS 42";"DIMARO";174.22;174.63
424;"SS 239";"DIMARO";6.275;6.63
190;"SP 26";"DON";2.065;2.102
37;"SS 45 bis";"DRO";131.63;133.21
38;"SS 45 bis";"DRO";126.925;127.4
192;"SP 84";"DRO";20.08;20.444
194;"SP 214 dir";"DRO";0.64;1.495
578;"SP 64";"FAI DELLA PAGANELLA";8.9;11.915
195;"SP 101";"FAVER";0.0;0.046
39;"SS 612";"FAVER";15.505;16.668
582;"SS 50";"FIERA DI PRIMIERO";71.83;72.4
373;"SP 135";"FIEROZZO";7.8;8.6
197;"SP 73";"FLAVON";6.739;7.934
595;"SS 349 dir";"FOLGARIA";2.022;2.93
599;"SP 216 sv Cappella";"FOLGARIA";0.0;0.057
589;"SS 350";"FOLGARIA";10.51;10.835
601;"SP 143";"FOLGARIA";1.135;1.62
591;"SS 350";"FOLGARIA";18.3;18.62
597;"SS 349";"FOLGARIA";27.52;27.974
605;"SP 220";"FOLGARIA";8.253;8.7
590;"SS 350";"FOLGARIA";13.853;14.7
604;"SP 2 dir Parisa";"FOLGARIA";0.0;0.732
606;"SP 2";"FOLGARIA";22.11;22.86
603;"SP 2";"FOLGARIA";19.285;20.54
587;"SS 350";"FOLGARIA";5.705;6.375
596;"SS 350";"FOLGARIA";23.514;24.22
593;"SS 349";"FOLGARIA";25.557;26.22
592;"SS 350";"FOLGARIA";19.05;20.037
588;"SP 220";"FOLGARIA";0.0;0.66
586;"SS 350";"FOLGARIA";4.748;5.388
602;"SP 143 dir";"FOLGARIA";0.01;0.455
607;"SP 220";"FOLGARIA";4.34;4.95
598;"SP 216";"FOLGARIA";4.325;4.47
584;"SP 143";"FOLGARIA";0.0;0.355
585;"SP 2";"FOLGARIA";23.59;24.655
583;"SS 350";"FOLGARIA";11.885;13.853
600;"SP 143";"FOLGARIA";0.68;1.03
594;"SS 350";"FOLGARIA";21.495;21.585
44;"SS 238";"FONDO";0.0;1.2
43;"SS 42";"FONDO";208.35;210.35
198;"SP 35";"FONDO";0.0;0.043
45;"SS 238 dir";"FONDO";0.0;1.186
375;"SP 233";"FRASSILONGO";5.4;5.891
374;"SP 135";"FRASSILONGO";3.6;4.0
46;"SS 239";"GIUSTINO";31.3;32.65
200;"SP 54";"GRAUNO";0.826;1.078
576;"SP 90 2配ronco";"ISERA";3.966;4.435
573;"SP 45";"ISERA";0.25;1.14
574;"SP 45";"ISERA";1.97;2.373
575;"SP 45";"ISERA";4.476;5.123
201;"SP 60 dir";"IVANO-FRACENA";0.483;1.63
47;"SS 237";"LARDARO";75.87;76.66
671;"SP 214";"LASINO";1.702;3.57
669;"SP 84";"LASINO";5.75;6.6
670;"SP 85";"LASINO";31.3;31.85
49;"SS 349";"LAVARONE";31.4;32.5
202;"SP 216";"LAVARONE";0.0;1.221
204;"SP 216";"LAVARONE";2.582;3.067
48;"SS 349";"LAVARONE";29.18;30.108
203;"SP 216";"LAVARONE";1.845;2.195
342;"SP 131 1配ronco";"LAVIS";0.0;0.3
353;"SS 12";"LAVIS";390.97;391.86
352;"SS 12";"LAVIS";386.5;388.0
339;"SP 90 3配ronco dir";"LAVIS";0.115;0.39
343;"SP 131 1配ronco";"LAVIS";0.65;1.0
354;"SS 612";"LAVIS";0.0;1.5
381;"SP 133 dir";"LEVICO TERME";1.785;1.9
379;"SP 16";"LEVICO TERME";6.48;6.679
208;"SP 16";"LEVICO TERME";6.48;6.679
210;"SP 133 dir";"LEVICO TERME";1.785;1.9
378;"SP 11";"LEVICO TERME";12.36;13.849
380;"SP 133 dir";"LEVICO TERME";0.0;0.282
209;"SP 133 dir";"LEVICO TERME";0.0;0.282
206;"SP 11";"LEVICO TERME";0.0;1.51
205;"SP 1";"LEVICO TERME";9.245;10.278
383;"SP 228";"LEVICO TERME";13.175;13.545
212;"SP 228";"LEVICO TERME";13.175;13.545
207;"SP 11";"LEVICO TERME";12.36;13.22
211;"SP 228";"LEVICO TERME";7.315;11.05
376;"SP 1";"LEVICO TERME";9.245;10.278
377;"SP 11";"LEVICO TERME";0.0;1.51
382;"SP 228";"LEVICO TERME";7.315;11.05
570;"SS 612";"LISIGNAGO";10.402;11.214
218;"SP 68";"LIVO";0.0;0.8
216;"SP 6";"LIVO";2.25;3.18
213;"SP 6";"LIVO";0.25;0.9
217;"SP 57";"LIVO";4.6;4.659
215;"SP 6";"LIVO";1.52;2.15
214;"SP 6";"LIVO";0.9;1.3
228;"SP 71";"LONA-LASES";10.158;11.04
441;"SP 71";"LONA-LASES";10.155;11.33
229;"SP 71";"LONA-LASES";12.166;12.85
442;"SP 71";"LONA-LASES";11.95;12.85
227;"SP 76";"LONA-LASES";14.202;14.453
444;"SP 76 dir Lases";"LONA-LASES";0.0;0.096
219;"SP 9";"LUSERNA";4.635;5.718
59;"SS 48";"MAZZIN";59.74;60.27
58;"SS 48";"MAZZIN";58.2;59.2
57;"SS 48";"MAZZIN";57.2;57.58
412;"SP 206";"MEZZANA";1.56;2.05
60;"SS 42";"MEZZANA";167.965;169.21
411;"SP 206";"MEZZANA";0.0;0.71
234;"SP 206";"MEZZANA";0.0;0.71
410;"SS 42";"MEZZANA";167.965;169.21
61;"SS 48";"MOENA";46.0;48.28
63;"SS 346";"MOENA";10.75;12.05
64;"SS 240";"MOLINA DI LEDRO";25.25;25.685
65;"SS 240";"MOLINA DI LEDRO";28.46;29.73
66;"SS 421";"MOLVENO";18.857;20.33
67;"SS 42";"MONCLASSICO";175.215;176.16
413;"SS 42";"MONCLASSICO";175.215;176.64
236;"SP 53";"MONTAGNE";3.95;4.284
235;"SP 53";"MONTAGNE";2.711;3.343
237;"SP 90 1配ronco";"MORI";20.52;20.863
241;"SP 88";"MORI";0.0;0.2
245;"SP 88";"MORI";9.183;9.485
239;"SP 3";"MORI";0.0;0.784
247;"SP 45";"MORI";9.847;10.28
69;"SS 240";"MORI";8.5;9.345
243;"SP 45";"MORI";11.8;11.9
240;"SP 3";"MORI";2.734;3.412
238;"SP 90 2配ronco";"MORI";0.0;0.07
242;"SP 88";"MORI";4.895;5.284
244;"SP 88";"MORI";7.748;8.121
246;"SP 45";"MORI";8.903;9.124
68;"SS 240";"MORI";3.1;6.515
459;"SP 10 dir Portolo";"NANNO";0.0;0.549
460;"SP 10 dir Portolo";"NANNO";1.516;1.977
458;"SP 10";"NANNO";3.12;3.78
249;"SP 90 3配ronco dir";"NAVE SAN ROCCO";0.0;0.0
248;"SP 90 3配ronco";"NAVE SAN ROCCO";1.65;2.6
580;"SP 20";"NOGAREDO";1.09;1.525
579;"SP 90 2配ronco";"NOGAREDO";4.47;5.195
552;"SP 59";"NOMI";0.0;0.07
250;"SP 60";"OSPEDALETTO";3.045;4.54
446;"SP 202";"OSSANA";0.0;0.31
449;"SP 202";"OSSANA";0.66;1.09
445;"SS 42";"OSSANA";163.306;164.28
448;"SP 202";"OSSANA";1.315;1.592
447;"SS 42";"OSSANA";162.23;163.07
257;"SP 87";"PEIO";11.15;11.629
260;"SP 87 dir Comasine";"PEIO";1.0;1.1
254;"SP 87";"PEIO";4.2;5.0
256;"SP 87";"PEIO";9.13;9.8
259;"SP 87 dir Celentino";"PEIO";1.98;2.85
255;"SP 87";"PEIO";5.29;6.205
258;"SP 87 dir Celentino";"PEIO";1.15;1.71
261;"SP 140";"PELLIZZANO";1.86;2.61
72;"SS 42";"PELLIZZANO";164.365;165.1
262;"SP 140";"PELLIZZANO";3.3;3.55
71;"SS 239";"PELUGO";40.1;40.6
278;"SP 228";"PERGINE VALSUGANA";0.0;0.537
398;"SP 228";"PERGINE VALSUGANA";0.0;0.537
396;"SP 1";"PERGINE VALSUGANA";0.0;0.53
275;"SP 1";"PERGINE VALSUGANA";0.0;0.53
273;"SP 8";"PERGINE VALSUGANA";3.55;4.07
394;"SP 8";"PERGINE VALSUGANA";3.55;4.07
386;"SP 243";"PERGINE VALSUGANA";2.143;2.258
265;"SP 243";"PERGINE VALSUGANA";2.143;2.258
566;"SP 107 dir";"PERGINE VALSUGANA";0.0;0.325
390;"SP 107";"PERGINE VALSUGANA";2.2;2.668
392;"SP 83";"PERGINE VALSUGANA";1.191;2.953
271;"SP 83";"PERGINE VALSUGANA";1.191;2.953
395;"SP 8";"PERGINE VALSUGANA";0.0;1.447
393;"SP 66";"PERGINE VALSUGANA";0.46;1.308
565;"SP 107";"PERGINE VALSUGANA";2.225;2.655
564;"SP 107";"PERGINE VALSUGANA";1.8;2.225
399;"SP 1";"PERGINE VALSUGANA";1.23;2.225
389;"SP 107";"PERGINE VALSUGANA";1.804;2.2
268;"SP 107";"PERGINE VALSUGANA";1.804;2.2
560;"SP 83";"PERGINE VALSUGANA";2.255;2.92
388;"SP 107";"PERGINE VALSUGANA";0.448;0.827
267;"SP 107";"PERGINE VALSUGANA";0.448;0.827
387;"SP 107";"PERGINE VALSUGANA";0.827;1.1
266;"SP 107";"PERGINE VALSUGANA";0.827;1.1
557;"SP 1";"PERGINE VALSUGANA";0.0;0.64
397;"SP 16";"PERGINE VALSUGANA";0.94;1.577
277;"SP 16";"PERGINE VALSUGANA";0.94;1.577
562;"SP 107";"PERGINE VALSUGANA";0.415;0.78
559;"SP 16";"PERGINE VALSUGANA";0.975;1.58
556;"SP 1";"PERGINE VALSUGANA";1.23;2.225
394;"SP 8";"PERGINE VALSUGANA";3.55;4.07
386;"SP 243";"PERGINE VALSUGANA";2.143;2.258
275;"SP 1";"PERGINE VALSUGANA";0.0;0.53
396;"SP 1";"PERGINE VALSUGANA";0.0;0.53
278;"SP 228";"PERGINE VALSUGANA";0.0;0.537
398;"SP 228";"PERGINE VALSUGANA";0.0;0.537
75;"SS 237";"PIEVE DI BONO";70.546;71.128
77;"SS 237";"PIEVE DI BONO";72.267;72.954
76;"SS 237";"PIEVE DI BONO";71.312;72.267
78;"SS 237";"PIEVE DI BONO";73.784;74.243
73;"SS 240";"PIEVE DI LEDRO";31.57;31.89
74;"SS 240";"PIEVE DI LEDRO";33.3;34.34
279;"SP 78";"PIEVE TESINO";11.02;11.596
280;"SP 114";"PIEVE TESINO";0.0;0.021
367;"SS 239";"PINZOLO";16.7;19.48
366;"SS 239";"PINZOLO";14.18;16.1
79;"SS 239";"PINZOLO";29.9;31.327
81;"SS 239";"PINZOLO";14.56;15.315
429;"SS 239";"PINZOLO";29.9;31.327
80;"SS 239";"PINZOLO";23.86;24.9
