"Id del ";"Strada ";"Comune ";"Km da ";"Km a "
617;"SS 46";"VALLARSA";51.006;51.778
628;"SP 89";"VALLARSA";7.327;7.854
634;"SP 219";"VALLARSA";6.68;7.072
630;"SP 89";"VALLARSA";18.697;19.175
619;"SS 46";"VALLARSA";53.764;54.478
621;"SS 46";"VALLARSA";56.412;57.2
627;"SP 89";"VALLARSA";5.641;6.095
633;"SP 219";"VALLARSA";2.233;2.657
625;"SP 89 dir Anghebeni";"VALLARSA";0.924;1.218
623;"SS 46";"VALLARSA";59.854;60.248
622;"SP 89 dir Anghebeni";"VALLARSA";3.485;3.905
632;"SP 89";"VALLARSA";19.625;19.94
626;"SP 89 dir Anghebeni";"VALLARSA";1.366;1.77
629;"SP 89";"VALLARSA";11.22;11.629
618;"SS 46";"VALLARSA";52.3;52.615
620;"SS 46";"VALLARSA";55.385;55.782
117;"SS 620";"VARENA";19.36;20.4
118;"SS 349";"VATTARO";13.5;14.535
119;"SS 349";"VATTARO";16.65;17.26
120;"SS 42";"VERMIGLIO";158.25;160.135
332;"SP 94";"VERMIGLIO";0.0;1.67
331;"SP 91";"VERMIGLIO";0.0;1.563
121;"SS 42";"VERMIGLIO";147.846;149.125
401;"SP 12";"VIGNOLA-FALESINA";9.98;10.65
122;"SS 48";"VIGO DI FASSA";52.55;53.03
123;"SS 241";"VIGO DI FASSA";33.84;35.51
124;"SS 241";"VIGO DI FASSA";36.0;36.4
53;"SS 349";"VIGOLO VATTARO";11.35;12.54
54;"SS 239";"VIGO RENDENA";41.0;41.75
665;"SP 65";"VILLA AGNEDO";14.453;14.69
667;"SP 60 dir";"VILLA AGNEDO";1.865;2.161
666;"SP 60";"VILLA AGNEDO";0.535;1.875
664;"SP 78";"VILLA AGNEDO";0.465;1.175
469;"SP 20";"VILLA LAGARINA";7.56;8.845
468;"SP 20";"VILLA LAGARINA";2.395;3.64
467;"SP 20";"VILLA LAGARINA";0.0;0.675
503;"SS 239";"VILLA RENDENA";43.38;44.0
52;"SS 239";"VILLA RENDENA";43.38;44.0
538;"SS 12";"VOLANO";357.743;359.362
50;"SS 48";"ZIANO DI FIEMME";32.83;33.6
335;"SP 222";"ZUCLO";8.457;9.333
438;"SP 222 dir Tonello";"ZUCLO";0.0;0.18
370;"SP 222";"ZUCLO";9.333;10.665
336;"SP 222 dir Tonello";"ZUCLO";0.0;0.18
