"@id";"@lat";"@lon";"name";"hiking"
455671725;46.189947;10.9510093;;"yes"
455695832;46.179388;10.9452934;;"yes"
455703635;46.1710538;10.9305165;;
455703638;46.1709191;10.9312612;;
455703641;46.1707197;10.931502;;
455703647;46.1704789;10.9317909;;
456423105;46.1897451;10.9607755;;"yes"
456740218;46.0401138;10.6324183;;
456740238;46.0536835;10.599987;;
456740239;46.0532459;10.5996651;;
456740240;46.0495468;10.6112768;;
456740244;46.0514645;10.5943447;;
456740246;46.0486685;10.5880908;;
456740961;46.1748505;10.9694025;;"yes"
456788167;46.1591529;10.9540232;;
458785600;45.7295366;11.121557;;"yes"
458785602;45.7254407;11.1287451;;"yes"
458854200;45.7372578;11.10356;;"yes"
458854265;45.7431571;11.100824;;
458872986;45.7973852;11.0694736;;
459478528;46.1787192;10.9322571;;
459478607;46.1608839;10.9476032;;
459518670;46.1550943;10.9684051;;
459656323;46.151531;10.9718946;;
459656388;46.148548;10.9696184;;"yes"
459656390;46.149597;10.9713883;;
459656394;46.1460557;10.9678687;;"yes"
459676545;46.1933627;10.9478603;;"yes"
459676611;46.2649619;10.9543089;;
459934191;46.2512392;10.9504636;;
459934198;46.256456;10.9541197;;
459934200;46.2496879;10.9553098;;
459935671;46.2421776;10.9416626;;
459936191;46.2247501;10.9311704;;
459936247;46.2355923;10.9223621;;"yes"
459964942;46.255708;10.9253364;;
459964982;46.2587761;10.9330992;"Pian dela Fontanela";
459965108;46.2628564;10.954035;;
459965231;46.2432479;10.9186042;;
459965235;46.2639645;10.9475772;;
463186455;46.2553199;10.9528089;;
466182473;46.1539475;10.7913942;;
469206786;46.0537546;11.1698408;;
469206788;46.0520458;11.1709377;;
469206795;46.0417211;11.1817069;;
469206796;46.0484002;11.1832831;;
469206797;46.0499974;11.184968;"Stoi de Chegul";
469206799;46.050909;11.1844897;;
470233449;45.8296373;10.5313083;;"yes"
471948773;46.1420941;11.5522491;"Laghi Val del'Inferno";"yes"
474779069;46.0444753;11.0337512;;
474779070;46.0449786;11.0342296;;
474779072;46.0451898;11.0341364;;
474779074;46.0417968;11.037331;;
474779077;46.0437181;11.0390075;;
474779079;46.0437716;11.0385694;;
474779080;46.0469915;11.043088;;
474779168;46.0540031;11.0410895;;
475853606;46.1910696;10.8888901;;"yes"
477375550;46.2076119;10.8665329;;"yes"
477988105;45.7859465;10.9074828;;
477988889;45.7834383;10.9071817;;
479797683;46.1810648;11.2654875;;
479797697;46.181272;11.2699726;;
479797700;46.1816171;11.2704783;;
479797706;46.1822648;11.2719982;;
480691240;46.4592082;11.6320631;;
482848726;46.4445201;11.6224462;;
482852821;46.4378881;11.6294943;;
482852842;46.431081;11.642617;;
482852898;46.4301472;11.6439617;;
482857778;46.480936;11.672596;;
487104338;46.4331816;11.6642881;;
489869123;45.835119;10.8599285;;"yes"
497658717;46.4199502;11.6306894;"Vael";
511138876;45.882002;10.8337262;;"yes"
511138879;45.8835136;10.8332099;;"yes"
511214949;45.8633277;10.793727;;"yes"
512729371;45.8484078;10.8222683;;"yes"
529071031;46.1589084;11.071867;"Zambana Vecchia";"yes"
530554834;45.9324671;10.8765838;;
530554840;45.9514688;10.8870933;;
530827763;45.7363297;11.1773183;;
533547674;45.8727564;10.9094352;;
540427501;45.9231689;10.699045;"Malga Vies";
540590096;45.9316134;10.6923911;;
540590404;45.9387093;10.6984605;;
550411690;45.8010504;10.5361065;;
550411691;45.8102818;10.5835494;;
550411694;45.8072575;10.5886196;;
550411713;45.8045117;10.6389873;"Bocca di Campei";
559196723;46.244346;11.8540195;;"yes"
559198050;46.2641985;11.8072254;;
559204149;46.2546556;11.8158875;;
559204219;46.263517;11.808309;;
559393758;46.1052735;10.8875591;;"yes"
559393759;46.1142208;10.8824651;;"yes"
559393760;46.1136451;10.8788587;;"yes"
559393761;46.1245125;10.8796762;;"yes"
559393762;46.1302147;10.8800488;;"yes"
559393763;46.1297029;10.8798309;;"yes"
559393767;46.09324;10.8868558;"Pont de le Scale";"yes"
559403958;46.0853778;10.8881225;;"yes"
559403959;46.0841425;10.8900763;;"yes"
565160295;46.3069585;11.7452388;;"yes"
565160296;46.307319;11.7462344;;"yes"
565160297;46.3075465;11.746861;;"yes"
565160300;46.3078855;11.7470756;;"yes"
565160301;46.3079327;11.7471872;;"yes"
565160302;46.3075894;11.7488781;;"yes"
565160303;46.3071051;11.7495626;;"yes"
565160304;46.3073362;11.7527491;;"yes"
565160305;46.3064264;11.7542769;;"yes"
565160306;46.3070701;11.7549378;;"yes"
565160307;46.3024652;11.7575214;;"yes"
565160308;46.2985083;11.7569206;;"yes"
565160309;46.2976621;11.7461813;;"yes"
565160310;46.2950402;11.7486946;;"yes"
565160312;46.2902534;11.7538127;;"yes"
565160313;46.2814339;11.7616383;"Passo Colbricon";"yes"
565160314;46.2807827;11.7663223;"Laghi di Colbricon";"yes"
565160315;46.2957428;11.7759073;;"yes"
565160316;46.2974621;11.7707321;;"yes"
565160318;46.3108899;11.7692366;;"yes"
565160588;46.3076752;11.7447066;;"yes"
565167306;46.3113811;11.7588062;;"yes"
565167307;46.3096399;11.7569147;;"yes"
565167309;46.3087287;11.7522636;;"yes"
570799034;46.105124;11.3770463;"Passo del Lago";"yes"
582626414;45.8865238;10.8981798;;
582626418;45.8842595;10.8935587;;
582626420;45.8840833;10.8939936;;
582626598;45.8825193;10.8951217;;
582626601;45.8865223;10.895116;;
583378526;45.9223074;10.8703896;;
588642650;45.8884818;10.8977217;;
588642912;45.8864578;10.8924323;;
600123627;45.9142355;10.8379367;;
600123665;45.9128791;10.8393615;;"yes"
600123747;45.9263572;10.8267995;;
600123786;45.9301814;10.8261975;;"yes"
600123789;45.9359575;10.8205495;;"yes"
600123836;45.9425006;10.821692;;"yes"
600123852;45.932857;10.8382004;;"yes"
600123857;45.9363439;10.835946;;"yes"
600123858;45.9379779;10.8370679;;"yes"
602662793;45.8697183;10.7813342;;
602662835;45.8645488;10.8023816;;"yes"
602662840;45.8645578;10.8134948;;"yes"
602662868;45.8703999;10.8328773;"Val Sperone";"yes"
602662918;45.9178077;10.7391887;"Mountain & Garda Bike";
602691686;45.9264735;10.7616718;"Mountain & Garda Bike";"yes"
602691710;45.9273703;10.767075;;"yes"
602691758;45.9297194;10.7735172;;
606795795;45.917392;10.8331683;;"yes"
606796121;45.9253759;10.8469782;;"yes"
606796177;45.926921;10.8481891;;"yes"
610443079;45.9117585;10.8381855;;"yes"
610443134;45.9154684;10.8352568;;"yes"
610443219;45.9164457;10.8356363;;
610443224;45.9165927;10.8370299;;
610443233;45.9138716;10.8384915;;"yes"
610974571;45.9189924;10.9050533;;
610991660;45.8799057;10.8850316;;
612025048;46.4072751;11.8180995;"Valle Tasca";
613085474;45.9056706;10.8404109;;
615712423;45.9070524;10.8407327;;
616524700;46.4076678;10.8033804;"Sentiero n. 1-2-6-8";"yes"
621349848;45.8514296;10.8687167;;
621349862;45.8524993;10.8711473;;
621349903;45.8635326;10.8812293;;
621349919;45.8660366;10.8816075;;
621349923;45.8669238;10.880181;;"yes"
621349925;45.8651856;10.8819998;;
621387548;45.8632369;10.8790198;;
638735263;45.9500005;10.8979323;;"yes"
642206807;45.9239593;10.872237;;"yes"
642206810;45.923933;10.8757939;;
665434212;46.4875735;11.2070508;;
671576505;45.9494084;10.9094518;;"yes"
671576607;45.9708009;10.932787;;"yes"
676871281;46.0304656;11.2002442;;
676875507;46.0310913;11.1864131;"Piani di Vigo";
677420077;45.8891623;10.831925;;"yes"
677420085;45.8889893;10.8346243;;"yes"
690223265;46.1541468;11.7897209;;"yes"
704399386;45.9181274;10.8506582;;
704399390;45.9173471;10.8475287;;
704399392;45.9179968;10.847784;;
704691752;45.8656114;10.8779246;;
711862118;45.8382873;10.5664947;"Palestra di roccia Corna del Vescov";"yes"
711944361;46.0962419;11.1303003;;
711944435;46.0964;11.13008;;
711944462;46.0993701;11.1328952;;
711944490;46.0996208;11.1329191;;
711945433;46.0997913;11.1398258;;
711945436;46.0986418;11.142088;"Stoi";"yes"
712001430;46.0994909;11.1440875;;
722739996;46.2571683;11.7733161;"Ponte Val Cigolera";
725504526;46.090064;11.123714;;
725504534;46.0920238;11.1240506;;
727687470;46.096064;11.128417;;
727687472;46.0954369;11.1422115;;"yes"
727919858;46.0941971;11.1255434;;
729859980;46.24427;11.8544654;;
729859990;46.2350598;11.8601363;;
737712224;46.0355485;11.1046498;;
737712441;46.0368046;11.1052078;;
737712460;46.0331788;11.0972385;;
737712480;46.033425;11.1003951;;
737712516;46.037279;11.1072395;"Ravina";
737735386;45.8319668;11.2049287;;"yes"
753335892;46.2356521;11.5929325;;"yes"
753336263;46.237312;11.5842257;;"yes"
755800995;46.0556938;10.6447554;"laghi di Valbona";"yes"
755824112;45.8689712;10.5483969;;"yes"
758777500;46.2647613;11.793315;;"yes"
758777613;46.2552824;11.8116942;;
758777740;46.2525617;11.8256524;;
758778413;46.2525035;11.8249683;;
762888948;46.0290229;11.1649797;;
762888952;46.0349307;11.1542965;;
762889044;46.029481;11.165219;;
762889086;46.0283035;11.1651267;;
762889091;46.0362568;11.1514127;;
762889120;46.0396382;11.1592811;;
762889129;46.0363433;11.1542169;;
762889170;46.0350678;11.1515294;;
762889203;46.0337008;11.160095;;
765940119;46.3946747;11.1573244;;"yes"
765940441;46.3908576;11.1652931;;"yes"
765940474;46.3862642;11.1791357;;"yes"
766088340;46.1041971;11.1233809;;
769678197;46.4157421;11.6146415;;
770595736;46.0776515;10.7530667;;"yes"
770595803;46.0812741;10.7595778;;"yes"
770595864;46.0903061;10.764;;"yes"
770596069;46.072259;10.7648354;;"yes"
770697758;46.0787322;10.7711505;;"yes"
770697802;46.1000426;10.7779479;;"yes"
770697862;46.0757979;10.768832;;"yes"
770697888;46.0728292;10.7697446;;"yes"
771839131;45.7907487;11.1672399;;
771844643;45.775107;11.1750369;;"yes"
803262901;46.1475431;11.7578672;;"yes"
803262942;46.1312944;11.7532389;"Panorama Valle Primiero";"yes"
804559479;46.1342007;11.7453378;;"yes"
805483425;46.1289268;11.7536554;;"yes"
805916497;46.4167361;11.7160812;;"yes"
