,latitude,longitude,brand,operator,locality,fuel:lpg,address
26,46.11269420000001,11.106843199999998,Esso,Drigo Maria,TRENTO,,"Esso, Via Bolzano, Piazzina, Gardolo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
27,46.0490256,11.475307199999998,Nord Petroli,Gruppo Nord Petroli S.R.L.,CASTELNUOVO,yes,"IES, Strada Statale 47 della Valsugana, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
28,46.1878019,11.1270123,Eni,N.E.W. Agip di Nardon Walter & C. S.A.S.,SAN MICHELE ALL'ADIGE,yes,"Agip, Via Nazionale, Grumino, Maso Betta, San Michele all'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
29,46.155252000000004,11.103322,Q8,Calovi Fulvio,LAVIS,,"Q8, Via Nazionale, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
30,46.146394,11.099337,Esso,Lumi S.R.L.,LAVIS,,"Esso, Strada Statale dell'Abetone e del Brennero, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
31,46.347362,11.079692800000002,Repsol,Pancheri Maria Luisa,COREDO,,"Repsol, SP7, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
32,46.2154099,11.088811,Esso,Dalla Torre Lucia,MEZZOLOMBARDO,,"Esso, Via IV Novembre, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
33,46.3293781,11.064224900000001,Esso,Mendini D. S.R.L.,TAIO,yes,"Esso, Strada Statale della Val di Non, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
34,46.003614299999995,11.1263029,Esso,Aemme S.A.S. di Ficarra Adriano & C.,TRENTO,,"Esso, Via Nazionale, Maso Pez, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38128, Italia"
35,46.0759963,11.2071347,Eni,Banali Renzo e C. S.N.C.,PERGINE VALSUGANA,yes,"Agip, Strada Statale 47 della Valsugana, Maso Popper, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
36,46.0451132,11.2350731,Total Erg,Casagrande di Casagrande Marco e C. S.N.C.,PERGINE VALSUGANA,yes,"Total, Strada Statale 47 della Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
37,46.0488907,11.2353864,Nord Petroli,Gruppo Nord Petroli S.R.L.,PERGINE VALSUGANA,,"NordPetroli, Statale Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
38,46.04445020000001,11.423266499999999,Esso,Esso,RONCEGNO,,"Maso Vazzena, Larganza, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, Italia"
39,46.068552000000004,11.2251508,Eni,Oasi Service S.A.S. di Di Bartolo Rocco & C.,PERGINE VALSUGANA,,"Agip, Via al Dos dela Roda, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
40,46.075679,10.995958,Esso,Esso,VEZZANO,,"Esso, 4, Via Nazionale, Vallelaghi, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
41,46.0469494,10.9515657,Q8,Servizi & Gestioni Italia Srl,CALAVINO,,"Q8, SS237, Madruzzo, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38076, Italia"
42,46.036361,10.864213000000001,Total Erg,Total Erg,COMANO TERME,,"Benzina, Via G. Marconi, Comano Terme, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38077, Italia"
43,45.996838000000004,11.666166,Esso,Esso,GRIGNO,,"Esso, Strada Statale 47 della Valsugana, Belvederi di Tezze, Casa Vescovo, Grigno, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38055, Italia"
44,46.0508176,11.485182,IP,IP,CASTELNUOVO,,"IP, SS47, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
45,46.0513415,11.4844751,Esso,Molinari S.A.S. di Molinari Massimo & C.,CASTELNUOVO,yes,"Esso, 2, Località Prai da Brenta, Ceggio, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
46,46.0342872,11.3951273,Nord Petroli,Gruppo Nord Petroli S.R.L.,RONCEGNO,,"Total, SS47, Bazzanella, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, Italia"
47,46.0028164,11.2955451,Eni,Stazione Agip di Stefani Federico e C. S.N.C.,LEVICO TERME,yes,"Agip, Strada Statale 47 della Valsugana, Levico Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
48,46.058533000000004,11.23017,Esso,De S.A.R. Gestioni di De Salvatore Alessandro & C. S.A.S.,PERGINE VALSUGANA,,"Esso, Statale Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
49,46.0869717,11.105229,Q8,Sartori S.A.S. di Sartori Andrea & C.,TRENTO,yes,"Q8 Area Ovest, Via delle Bettine, Piazzina, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
