"id strada";"denominazione";"localita di inizio strada";"localita di fine strada";"TIPO"
25;"di Ruffrè";"S.S. 42 km 215,660";"S.S. 42 km 219,660";"C"
26;"del Lago di Cei";"Villa Lagarina (bivio S.P. 90 Km 7,000)";"bivio con S.P. 25";"C"
27;"Mattarello - Aldeno";"ponte sul fiume Adige bivio con S.P. 131";"località Aldeno intersezione con S.P. 90 II° tronco";"C"
28;"Chizzola - Brentonico";"Chizzola";"Brentonico S.P. 3 Km 8,532";"C"
29;"Chizzola - Brentonico diramazione Prada Saccone";"S.P. 22 Km 2,698";"S.P. 218 Km 3,535 (Prada)";"C"
30;"Mori - Marco";"Mori Stazione (bivio S.S. 240 Km 2,850)";"bivio per Casello A22";"C"
31;"di Dambel";"S.S. 43 dir. km 4,900";"S.S. 43 dir. km 13,600 Sarnonico";"C"
32;"di Garniga";"centro abitto di Aldeno";"località Viotte intersezione S.P. 85";"C"
33;"di Amblar e Don";"S.S. 43 dir. km 12,190";"Don";"C"
34;"di Amblar e Don diramazione Amblar";;;"C"
35;"di Daone";"Ai Forti, S.S 237 al km 75.320";"Strada (Pieve di Bono) S.S 237 al km72.950";"C"
36;"di Daone diramazione Pracul";;;"C"
37;"di Tregiovo";"S.S. 42 km 196,440";"Tregiovo";"C"
38;"di Tregiovo diramazione Frari";;;"C"
39;"di Masetto";"località Cacciatora staccandosi dalla S.S. 12";"località Rocchetta (aperta fino al ponte sul fiume Noce a Mezzolombardo)";"C"
40;"del Passo Manghen";"Castelnuovo (incr. S.P. 109 al km 1,200)";"Incrocio con S.P. n. 232 a Molina";"C"
41;"di Villa Banale - Stenico diramazione Ponte Arche";"Ponte Arche  ponte sul fiume Sarca";"S.S 421 al km 37.150";"C"
42;"di Villa Banale - Stenico";"Villa Banale";"Stenico S.P 34 al km15.140";"C"
43;"del Lisano e Sesena";"Villa Rendena";"S.S 421";"C"
44;"del Lisano e Sesena diramazione Preore";"Preore al km 4.858";"S.S.237 al km 88.300";"C"
45;"del Lisano e Sesena diramazione Ragoli";"Ragoli al km 6.420";"S.S 237al km 91.440";"C"
46;"del Lisano e Sesena diramazione Cros da Val";"Cros da Val al km 17.170";"Seo ( Stenico )";"C"
47;"di Malosco";"S.S. 238 delle Palade al km 0,555";"S.S. 42 al km 213,750";"C"
48;"delle Grazie";"Riva del Garda (incrocio con S.S. 421 km 62,648)";"Arco (incrocio con S.S. 45 bis al km 117,866)";"C"
49;"delle Grazie diramazione Varone";"Località Pasina (incrocio con S.P. 36 al km 0,847)";"Varone (incrocio con S.S. 421 al km 61,050)";"C"
