"lat","lon","name"
46.3014623,10.809961,
46.0746505,11.2197156,"Ex Villa Rosa"
46.0095327,11.3041043,"APSS Poliambulatorio di Levico Terme"
46.1874416,11.2585751,"Guardia Medica"
46.2747699,11.0490774,"Guardia Medica"
46.057186,11.1317864,"Guardia Medica"
45.8511471,10.9813247,"Guardia Medica"
46.2130371,11.0946842,"Guardia Medica"
46.3203409,11.0661113,"Guardia Medica"
46.127906,11.2438352,"Poliambulatorio comunale - Medici Generici - Pediatri - Guardia Medica"
46.3215842,11.0952361,"Medico di base"
45.919077,10.875114,"Pronto Soccorso Ospedale di Arco"
46.2883679,11.4558986,"Pronto Soccorso Ospedale di Fiemme"
46.0568308,11.4632511,"Pronto Soccorso Ospedale 'San Lorenzo'"
46.3615563,11.0324389,"Pronto Soccorso Ospedale 'Valli del Noce'"
46.0422014,10.7245566,"Pronto Soccorso Ospedale Tione di Trento"
45.8811734,11.0401616,"Pronto Soccorso Ospedale Santa Maria del Carmine"
46.0570296,11.1330573,"Pronto Soccorso Ospedale 'Santa Chiara'"
46.2593713,10.5854065,
45.8955723,10.7210169,
