"nome","first_arrival","last_departure","trip_time","electric_plug","wi-fi","bike_support","transportation_class"
"Molveno-Via Nazionale 73","13:48:00","18:48:00","00:58:00",0,0,1,0
"Ala-Trenitalia","05:12:00","20:24:00","00:52:00",0,0,1,0
"P.Arche-Sc.Medie","07:05:00","07:31:00","00:26:00",0,0,1,0
"Pergine V.","07:05:00","12:45:00","00:25:00",0,0,1,0
"Sagron","06:10:00","17:47:00","00:32:00",0,0,1,0
"Pinzolo","18:10:00","18:44:00","00:34:00",0,0,1,0
"Pranzo-Ex Cabina Enel","14:15:00","15:04:00","00:49:00",0,0,1,0
"Penia","06:20:00","20:26:00","01:22:00",0,0,1,0
"Pilcante","11:05:00","11:28:00","00:23:00",0,0,1,0
"Strada","07:00:00","14:53:00","00:12:00",0,0,1,0
"Zivignago-Paese","08:10:00","17:18:00","00:08:00",0,0,1,0
"Borghetto-Trenitalia","05:55:00","23:11:00","01:20:00",0,0,1,0
"Sarche-Cassa Rurale","12:40:00","17:44:00","01:13:00",0,0,1,0
"Folgaria-Palasport","07:15:00","07:52:00","00:37:00",0,0,1,0
"Besenello-Ferm. Nord","11:05:00","11:26:00","00:21:00",0,0,1,0
"Capriana","06:08:00","20:14:00","00:55:00",0,0,1,0
"Penia Alta","06:10:00","14:28:00","01:24:00",0,0,1,0
"Levico Terme-Autostazione","05:54:00","17:36:00","00:16:00",0,0,1,0
"Ronchi di Ala","07:05:00","07:19:00","00:14:00",0,0,1,0
"Condino-Albergo Corona.","12:45:00","14:41:00","01:16:00",0,0,1,0
"Calceranica Al Lago","06:55:00","07:16:00","00:21:00",0,0,1,0
"Roveda Bivio","06:03:00","06:28:00","00:25:00",0,0,1,0
"Pian Dei Pradi","13:20:00","13:24:00","00:04:00",0,0,1,0
"Virti","13:54:00","14:25:00","00:31:00",0,0,1,0
"Brentonico","06:10:00","08:16:00","00:21:00",0,0,1,0
"Salorno-Salurn","12:23:00","12:56:00","00:33:00",0,0,1,0
"Valda-P.Zza Melari. 4","13:13:00","13:28:00","00:15:00",0,0,1,0
"Menas","06:35:00","14:13:00","00:18:00",0,0,1,0
"S.Martino di Arco","13:30:00","13:57:00","00:27:00",0,0,1,0
"Cles-Masere-Poli","06:35:00","07:39:00","01:04:00",0,0,1,0
"Rovereto-Ist. Veronesi","06:53:00","07:27:00","00:21:00",0,0,1,0
"Samone","11:00:00","18:00:00","00:40:00",0,0,1,0
"Bolentina","07:10:00","17:05:00","00:18:00",0,0,1,0
"Roncogno","09:10:00","18:33:00","00:15:00",0,0,1,0
"Besenello","19:56:00","20:15:00","00:19:00",0,0,1,0
"Faver Bivio","07:05:00","nan","00:30:00",0,0,1,0
"Lago di Tenno","13:35:00","14:04:00","00:29:00",0,0,1,0
"Taio-Plesso Scolastico","06:54:00","07:25:00","00:11:00",0,0,1,0
"Imer","04:45:00","05:37:00","00:52:00",0,0,1,0
"S.Lorenzo-Chiesa","06:55:00","19:15:00","00:35:00",0,0,1,0
"Serravalle","09:40:00","09:54:00","00:14:00",0,0,1,0
"Rovereto-Fermata Trenitalia","05:57:00","18:11:00","00:34:00",0,0,1,0
"Cela-Aguai-Paese","10:15:00","10:41:00","00:26:00",0,0,1,0
"Ponte Arche-Autost.","05:58:00","17:34:00","00:35:00",0,0,1,0
"Trento-Autostaz.","04:32:00","15:29:00","00:48:00",0,0,1,0
"Bolognano","06:47:00","21:54:00","00:45:00",0,0,1,0
"Centa","08:30:00","19:05:00","00:50:00",0,0,1,0
"Tione Ospedale Civile","08:00:00","14:18:00","00:05:00",0,0,1,0
"Ronzo Chienis","10:30:00","19:47:00","00:44:00",0,0,1,0
"Molina di Fiemme-Scuole","11:15:00","19:07:00","01:47:00",0,0,1,0
"Massone","17:07:00","17:11:00","00:04:00",0,0,1,0
"Riva D/Garda Viale Martiri","08:00:00","09:23:00","01:23:00",0,0,1,0
"Baitoni","07:50:00","20:19:00","01:34:00",0,0,1,0
"Battisti","12:55:00","18:19:00","00:42:00",0,0,1,0
"Canzolino","13:45:00","13:55:00","00:10:00",0,0,1,0
"Montesover","07:05:00","19:57:00","00:10:00",0,0,1,0
"Crosano Bivio","06:54:00","15:06:00","00:06:00",0,0,1,0
"Peio","06:26:00","20:10:00","01:00:00",0,0,1,0
"Carano-Garnì Belvedere","12:45:00","13:59:00","00:09:00",0,0,1,0
"Aldeno","06:48:00","18:33:00","00:33:00",0,0,1,0
"Sanzeno","11:40:00","13:15:00","00:25:00",0,0,1,0
"Vò Sinistro-Passaggio Livello","10:45:00","15:54:00","00:09:00",0,0,1,0
"Vattaro","13:10:00","13:45:00","00:35:00",0,0,1,0
"Preore-Loc.Signor","13:25:00","13:51:00","00:26:00",0,0,1,0
"Sicina","06:10:00","17:57:00","00:15:00",0,0,1,0
"San Martino di Castrozza","07:55:00","20:12:00","00:23:00",0,0,1,0
"Fiera di Primiero","05:59:00","16:48:00","00:32:00",0,0,1,0
"Sarche-Centro Comm.","06:31:00","15:06:00","00:18:00",0,0,1,0
"Tonadico-Madonna Della Luce","14:12:00","14:18:00","00:06:00",0,0,1,0
"Rovereto-Staz.F.S.","06:53:00","07:36:00","00:43:00",0,0,1,0
"Marilleva 1400","08:00:00","17:30:00","00:45:00",0,0,1,0
"Drena","11:55:00","18:11:00","00:07:00",0,0,1,0
"Somrabbi","06:35:00","18:13:00","00:28:00",0,0,1,0
"Siror","15:42:00","20:49:00","00:19:00",0,0,1,0
"Margone","11:00:00","13:41:00","00:23:00",0,0,1,0
"Castelir di Bellamonte","12:50:00","13:56:00","00:16:00",0,0,1,0
"Lavarone Chiesa","07:20:00","07:54:00","00:34:00",0,0,1,0
"Lavis","08:59:00","09:20:00","00:21:00",0,0,1,0
"Madrano-Alb.Madrano","17:05:00","17:17:00","00:12:00",0,0,1,0
"Camposilvano","13:23:00","20:12:00","01:17:00",0,0,1,0
"Pergine-C.Intermodale","04:40:00","18:58:00","00:23:00",0,0,1,0
"Mezzocorona-Borg.","12:43:00","13:00:00","00:13:00",0,0,1,0
"Ala-Ospedale Bivio","09:40:00","10:09:00","00:29:00",0,0,1,0
"Buss","13:29:00","13:34:00","00:05:00",0,0,1,0
"Levico Terme-Staz. Fs","13:31:00","21:52:00","00:47:00",0,0,1,0
"Ranzo","08:24:00","17:32:00","00:47:00",0,0,1,0
"Zava","13:18:00","13:47:00","00:12:00",0,0,1,0
"Valle S.Felice","06:25:00","17:39:00","00:08:00",0,0,1,0
"Don","12:55:00","13:10:00","00:15:00",0,0,1,0
"Malgolo Piazza De Betta","12:55:00","13:20:00","00:25:00",0,0,1,0
"Cis","07:02:00","17:25:00","00:15:00",0,0,1,0
"Pranzo Via Pernici","14:15:00","15:05:00","00:50:00",0,0,1,0
"Trento-Staz. Ftm","05:28:00","21:32:00","01:56:00",0,0,1,0
"Kamauz","12:45:00","19:12:00","00:37:00",0,0,1,0
"Folgaria-Ortofr.Bolognani","14:20:00","14:45:00","00:25:00",0,0,1,0
"Tione-Autostazione","05:15:00","18:04:00","00:45:00",0,0,1,0
"Ville Del Monte","07:04:00","07:09:00","00:05:00",0,0,1,0
"Trento-L.Go N. Sauro","07:20:00","08:32:00","01:12:00",0,0,1,0
"Toss","06:06:00","18:25:00","00:05:00",0,0,1,0
"Garniga Vecchia","07:50:00","18:16:00","00:54:00",0,0,1,0
"Falesina","09:35:00","12:07:00","00:22:00",0,0,1,0
"Torcegno","06:50:00","19:25:00","00:20:00",0,0,1,0
"Arco Svizzera","06:29:00","06:56:00","00:27:00",0,0,1,0
"Mezzocorona-Staz.Fs","06:15:00","20:11:00","00:48:00",0,0,1,0
"Mezzolombardo","05:35:00","18:51:00","00:25:00",0,0,1,0
"Nomi","06:31:00","15:24:00","00:23:00",0,0,1,0
"Lavarone Cappella","08:30:00","14:57:00","00:44:00",0,0,1,0
"S.Cristoforo-Fs","06:33:00","06:53:00","00:20:00",0,0,1,0
".","06:55:00","nan","00:30:00",0,0,1,0
"Falcade","17:00:00","17:37:00","00:37:00",0,0,1,0
"Passo Tonale","05:54:00","16:35:00","00:28:00",0,0,1,0
"Verla","06:45:00","16:14:00","00:13:00",0,0,1,0
"Rovereto-Via Paoli","05:41:00","19:00:00","00:52:00",0,0,1,0
"S.Michele A/Adige","07:03:00","16:52:00","00:08:00",0,0,1,0
"Pergolese","13:16:00","19:19:00","00:04:00",0,0,1,0
"Grauno","11:20:00","18:02:00","01:12:00",0,0,1,0
"Nomesino","13:10:00","18:33:00","00:08:00",0,0,1,0
"Montagnaga","13:12:00","18:28:00","00:20:00",0,0,1,0
"Berni","12:56:00","13:49:00","00:28:00",0,0,1,0
"Pietramurata","14:13:00","14:32:00","00:19:00",0,0,1,0
"Tres","12:45:00","18:01:00","00:10:00",0,0,1,0
"Geroli","14:00:00","14:27:00","00:27:00",0,0,1,0
"Sclemo","12:56:00","14:11:00","00:23:00",0,0,1,0
"S.Barbara","13:17:00","14:23:00","01:06:00",0,0,1,0
"Cogolo","19:10:00","19:59:00","00:49:00",0,0,1,0
"V.Veronza-H.Veronza","07:50:00","17:31:00","00:31:00",0,0,1,0
"Albola","07:10:00","07:38:00","00:28:00",0,0,1,0
"Vezzano","07:25:00","19:17:00","00:24:00",0,0,1,0
"Martincelli","11:00:00","19:02:00","00:40:00",0,0,1,0
"Vanza Sp50","10:30:00","10:51:00","00:21:00",0,0,1,0
"Tassullo","06:47:00","16:42:00","00:17:00",0,0,1,0
"Folgaria-P.Le N.Unite","05:45:00","19:39:00","00:49:00",0,0,1,0
"Revò","11:40:00","12:21:00","00:41:00",0,0,1,0
"Pra Da Lac","12:25:00","13:30:00","01:05:00",0,0,1,0
"Crosano-Via Mazzini","19:12:00","19:29:00","00:17:00",0,0,1,0
"Saccone","06:30:00","19:49:00","00:46:00",0,0,1,0
"Masi di Cavalese","12:45:00","19:09:00","00:09:00",0,0,1,0
"Ponzolotti","13:13:00","17:27:00","00:17:00",0,0,1,0
"Pieve di Bono","06:45:00","16:05:00","00:51:00",0,0,1,0
"Tenna","09:55:00","18:40:00","00:10:00",0,0,1,0
"Castello Tesino","06:30:00","20:40:00","01:13:00",0,0,1,0
"Santel","17:49:00","18:20:00","00:31:00",0,0,1,0
"Avio-Carabinieri","09:00:00","18:16:00","01:03:00",0,0,1,0
"Sveseri Bivio","06:26:00","06:31:00","00:05:00",0,0,1,0
"Taio","08:30:00","18:09:00","00:44:00",0,0,1,0
"S.Silvestro","12:56:00","13:16:00","00:20:00",0,0,1,0
"Speccheri Bivio","06:12:00","06:17:00","00:05:00",0,0,1,0
"Luserna","12:30:00","15:16:00","02:06:00",0,0,1,0
"Avio-Via M.Baldo","09:00:00","19:20:00","00:53:00",0,0,1,0
"Termon","14:30:00","19:00:00","00:35:00",0,0,1,0
"Cazzano","08:05:00","13:13:00","00:11:00",0,0,1,0
"Storo","13:00:00","17:49:00","00:09:00",0,0,1,0
"Viote","07:45:00","18:55:00","00:55:00",0,0,1,0
"Luxottica-Agordo","04:10:00","13:41:00","01:01:00",0,0,1,0
"S.Martino di C.-Im.Col Verde","06:45:00","07:56:00","01:06:00",0,0,1,0
"Pellizzano","06:25:00","16:28:00","00:18:00",0,0,1,0
"Mollaro-Parcheggio Ftm","06:26:00","13:27:00","00:32:00",0,0,1,0
"S.Vito di Pergine","12:05:00","18:17:00","00:12:00",0,0,1,0
"Folgaria-Via Battisti","06:15:00","16:50:00","00:11:00",0,0,1,0
"Sover","06:00:00","20:00:00","00:10:00",0,0,1,0
"Rovereto-Sc.Medie Negrelli","06:40:00","07:37:00","00:57:00",0,0,1,0
"Albaredo","09:25:00","11:54:00","00:19:00",0,0,1,0
"Pineta di Faedo","06:42:00","19:09:00","00:19:00",0,0,1,0
"Pradel","13:33:00","13:48:00","00:15:00",0,0,1,0
"Piano di Vallarsa","07:25:00","17:10:00","00:50:00",0,0,1,0
"Predazzo-Autostaz.","07:10:00","08:37:00","01:27:00",0,0,1,0
"Ometto","08:40:00","19:40:00","00:45:00",0,0,1,0
"Vestone","06:32:00","19:47:00","01:26:00",0,0,1,0
"Tres Via Nazionale 12","07:27:00","08:01:00","00:34:00",0,0,1,0
"Sardagna-Rotatoria","10:15:00","16:52:00","00:17:00",0,0,1,0
"Tres Via Nazionale 33/24","13:42:00","14:16:00","00:34:00",0,0,1,0
"Fucine","05:20:00","15:02:00","00:28:00",0,0,1,0
"Dambel","07:15:00","12:47:00","00:54:00",0,0,1,0
"Bassano Del Grappa","05:05:00","22:15:00","02:10:00",0,0,1,0
"Sporminore Civ. 86","13:58:00","14:37:00","00:07:00",0,0,1,0
"Carisolo","10:00:00","nan","00:30:00",0,0,1,0
"Grumo","06:40:00","07:33:00","00:53:00",0,0,1,0
"Credai","06:25:00","06:48:00","00:23:00",0,0,1,0
"Lago di Caveine-Trebi","16:50:00","17:07:00","00:17:00",0,0,1,0
"Mechel","07:21:00","13:19:00","00:12:00",0,0,1,0
"Canal San Bovo","07:40:00","08:07:00","00:27:00",0,0,1,0
"Nago","06:53:00","16:16:00","00:43:00",0,0,1,0
"Olle","07:25:00","17:28:00","00:06:00",0,0,1,0
"Favrio Civ. 51","12:57:00","13:19:00","00:22:00",0,0,1,0
"Tret Nord","13:05:00","13:16:00","00:11:00",0,0,1,0
"Mezzana Ftm","05:42:00","18:56:00","01:38:00",0,0,1,0
"Vezzano Sud","06:15:00","14:13:00","00:38:00",0,0,1,0
"Grumes","13:55:00","20:20:00","01:05:00",0,0,1,0
"Riva Del G.-Autostaz.","05:16:00","20:43:00","00:23:00",0,0,1,0
"Ala-Stazione Fs","05:41:00","19:46:00","00:44:00",0,0,1,0
"Sabbionara","06:43:00","07:47:00","01:04:00",0,0,1,0
"Serrada Via Pasubio","07:23:00","19:49:00","00:10:00",0,0,1,0
"Castione","16:30:00","18:23:00","00:06:00",0,0,1,0
"Rincheri","13:29:00","14:01:00","00:32:00",0,0,1,0
"Carbonare","17:55:00","19:05:00","01:10:00",0,0,1,0
"Cles-Autostazione","05:57:00","14:44:00","01:06:00",0,0,1,0
"Dercolo-Bivio","12:20:00","13:03:00","00:43:00",0,0,1,0
"Gardolo-Zona Ind.Le","12:15:00","21:51:00","01:31:00",0,0,1,0
"Ala-Via Malfatti","07:10:00","07:28:00","00:18:00",0,0,1,0
"Preore","12:32:00","13:08:00","00:36:00",0,0,1,0
"Dovena","12:55:00","13:10:00","00:15:00",0,0,1,0
"Calvola","13:07:00","13:12:00","00:05:00",0,0,1,0
"Pomarolo","06:21:00","18:08:00","00:18:00",0,0,1,0
"Lodrone","06:35:00","06:46:00","00:11:00",0,0,1,0
"M.Campiglio Des Alpes","10:00:00","nan","00:30:00",0,0,1,0
"Passo Mendola","06:05:00","19:28:00","01:03:00",0,0,1,0
"Daone","12:56:00","19:04:00","00:12:00",0,0,1,0
"Rovereto-Sc.Elementari R.Elena","07:11:00","07:41:00","00:30:00",0,0,1,0
"Pozzacchio","07:55:00","20:15:00","00:45:00",0,0,1,0
"Torbole","06:55:00","07:21:00","00:26:00",0,0,1,0
"Primolano-Alb.Giardino","06:20:00","18:30:00","00:09:00",0,0,1,0
"V.Cavedine-Via S.Udalrico","13:40:00","18:00:00","00:45:00",0,0,1,0
"Pian Delle Fugazze","07:25:00","17:34:00","01:03:00",0,0,1,0
"Castel Condino","13:15:00","14:30:00","00:15:00",0,0,1,0
"Arco Piazza Italia","06:34:00","06:57:00","00:23:00",0,0,1,0
"Canale-Via Delle Stonfe","13:20:00","13:40:00","00:20:00",0,0,1,0
"Cimone-Bivio Pietra","06:23:00","07:32:00","00:07:00",0,0,1,0
"Fondo-Piazza S.Giovanni","07:11:00","07:45:00","00:34:00",0,0,1,0
"Siror Centro Sportivo","18:45:00","20:50:00","01:05:00",0,0,1,0
"Caoria","06:10:00","15:39:00","00:15:00",0,0,1,0
"Cumerlotti","17:45:00","18:11:00","00:26:00",0,0,1,0
"Piazzo di Segonzano","12:25:00","14:38:00","00:53:00",0,0,1,0
"Guardia di Folgaria","10:55:00","14:19:00","00:15:00",0,0,1,0
"Livo","06:06:00","19:17:00","00:10:00",0,0,1,0
"Calavino","13:54:00","15:22:00","00:32:00",0,0,1,0
"Bedollo","06:40:00","07:21:00","00:03:00",0,0,1,0
"Ponte Ragoli R","07:50:00","nan","00:30:00",0,0,1,0
"Svaldi","13:25:00","18:39:00","00:04:00",0,0,1,0
"Valmorbia","08:40:00","08:50:00","00:10:00",0,0,1,0
"Regnana","13:35:00","18:10:00","00:05:00",0,0,1,0
"Rovereto-Via Zeni","06:15:00","07:14:00","00:59:00",0,0,1,0
"Cavareno","06:55:00","07:02:00","00:07:00",0,0,1,0
"Viarago","17:48:00","18:01:00","00:13:00",0,0,1,0
"Belvedere","06:50:00","17:08:00","00:28:00",0,0,1,0
"Brentonico-Via Calzolari","07:15:00","07:45:00","00:30:00",0,0,1,0
"Campi Bv 37 Dir-X Loc Parisi","12:35:00","18:40:00","00:25:00",0,0,1,0
"Facendi V.S.Antonio-Capitello","18:21:00","18:27:00","00:06:00",0,0,1,0
"Mezzocorona Ferrovia","06:10:00","08:17:00","00:19:00",0,0,1,0
"Canale di Pergine Valsugana","08:35:00","16:14:00","00:10:00",0,0,1,0
"Arten","05:55:00","16:00:00","00:15:00",0,0,1,0
"Civezzano Scuola Media","07:58:00","16:36:00","00:11:00",0,0,1,0
"Fucine Scuola Media","07:15:00","07:47:00","00:24:00",0,0,1,0
"Maso Tingherla","14:15:00","14:40:00","00:25:00",0,0,1,0
"Ronco Chiesa","13:00:00","13:57:00","00:32:00",0,0,1,0
"Canal S.Bovo","06:13:00","14:12:00","00:12:00",0,0,1,0
"Rovereto-Via Savioli","16:15:00","18:54:00","00:42:00",0,0,1,0
"Agordo-Luxottica","06:35:00","19:40:00","01:11:00",0,0,1,0
"Fondo-Via Garibaldi","06:44:00","20:37:00","00:45:00",0,0,1,0
"Montagne Binio","11:25:00","16:53:00","00:48:00",0,0,1,0
"Mis","07:00:00","07:07:00","00:07:00",0,0,1,0
"Cles-Piazza Fiera","06:10:00","07:37:00","00:34:00",0,0,1,0
"Varena","12:45:00","14:05:00","00:15:00",0,0,1,0
"Passo Gobbera","17:19:00","18:47:00","00:26:00",0,0,1,0
"S.Caterina di Pergine","10:05:00","13:22:00","00:19:00",0,0,1,0
"Bosco di Civezzano","10:20:00","12:05:00","00:45:00",0,0,1,0
"Serrada","18:50:00","19:33:00","00:43:00",0,0,1,0
"Piazzola","11:55:00","19:42:00","00:25:00",0,0,1,0
"Candriai-Sp 85 Km. 9.4","09:15:00","18:56:00","00:09:00",0,0,1,0
"Valcanover","13:45:00","17:55:00","00:15:00",0,0,1,0
"Pregasina","08:10:00","08:30:00","00:20:00",0,0,1,0
"S.Michele A/A.-Ist. Agrario","12:23:00","12:37:00","00:14:00",0,0,1,0
"Doss","14:30:00","19:52:00","00:17:00",0,0,1,0
"Molveno","06:15:00","19:40:00","00:45:00",0,0,1,0
"Madonna di Campiglio-Vvff","08:00:00","15:20:00","00:50:00",0,0,1,0
"Dermulo","05:08:00","17:54:00","00:25:00",0,0,1,0
"Via S.Pietro 82-Villa Rosa","08:40:00","16:47:00","00:07:00",0,0,1,0
"Dro","14:55:00","15:27:00","00:32:00",0,0,1,0
"Lausen","07:08:00","07:21:00","00:13:00",0,0,1,0
"Varena-Via Alpini-Dir.Lavazè","19:00:00","19:16:00","00:16:00",0,0,1,0
"Piazza di Terragnolo","06:35:00","07:03:00","00:10:00",0,0,1,0
"Ronchi Valsugana","06:55:00","18:36:00","00:20:00",0,0,1,0
"S.Mauro","17:47:00","17:58:00","00:11:00",0,0,1,0
"Cavalese-Autostaz.","05:40:00","19:19:00","01:22:00",0,0,1,0
"Due Laghi-Hotel Miralaghi","06:52:00","06:55:00","00:03:00",0,0,1,0
"Spiazzo Rendena","20:20:00","nan","00:30:00",0,0,1,0
"Zoreri-Soldati","11:30:00","18:28:00","00:38:00",0,0,1,0
"Tesero","07:20:00","07:27:00","00:07:00",0,0,1,0
"Loc. Lochere","11:20:00","18:01:00","00:26:00",0,0,1,0
"Bivedo","07:00:00","19:09:00","00:29:00",0,0,1,0
"Loc. Cazzanelli di Cornè","14:40:00","17:48:00","00:39:00",0,0,1,0
"Andalo","11:55:00","14:04:00","00:41:00",0,0,1,0
"Brusago","06:10:00","23:26:00","01:21:00",0,0,1,0
