"Denominazione impianto","Comune","Lunghezza Inclinata (m)","Dislivello (m)","Tipo veicolo","CapacitÃ  Veicolo (Pers.)","Portata Max (Pers/h)"
"Doss Leon - Passo Sant'Antonio","Terlago","1166,15","234","seggiola chiusa",4,1800
"Ronchi - Valbona","Moena","1202","448","cabina",8,2070
"Valbona - Le Cune","Moena","1512","384","cabina",8,2070
"Madonna di Campiglio - Pancugolo","Pinzolo","2007","539","cabina",8,1800
"ToÃ¨ - Col dei Rossi","Canazei","1226,07","337,07","cabina",8,2400
"Fondo Piccolo - Plaut","Folgaria","992","228","seggiola",4,1800
"Costalunga - Latemar","Vigo di Fassa","1110","293","seggiola chiusa",4,1600
"Puza dai FÃ² - Plaza","Pinzolo","1221","513","cabina",8,1800
"Plaza - Colarin","Pinzolo","2354","356","cabina",8,1800
"Colarin - Patascoss","Pinzolo","1156","246","cabina",8,1800
"Tulot - Malga Cioca","Pinzolo","2451","877","cabina",8,2000
"Malga Piovernetta - Termental","Folgaria","823","106","seggiola",4,1800
"Malga Piovernetta - Monte Pioverna","Folgaria","990","207","seggiola",4,1500
"Malga Boch - Monte Spinale","Ragoli","665","113","seggiola chiusa",4,2000
"Molveno - Pradel","Molveno","950","456","cabina",10,1514
"Cordela - Montesel","Trento","931","278","seggiola",6,2200
"Bassetta - Monte Vigo","Commezzadura","843","200","seggiola chiusa",4,2190
"Trento - Sardagna","Trento","1157","400","va e vieni",13,270
"Mezzocorona - Monte","Mezzocorona","933","623","va e vieni",7,130
"Alba - Ciampac","Canazei","1902","658","va e vieni",75,840
"Pecol - Col dei Rossi","Canazei","1313","450","va e vieni",76,1100
"P. S.Pellegrino - Col Margherita","Moena","1395","639","va e vieni",97,1330
"Vigo di Fassa - Ciampedie","Vigo di Fassa","1523","570","va e vieni",101,1300
"Campitello - Col Rodella ","Canazei","2472","984","va e vieni",126,1160
"Passo Pordoi - Sass Pordoi","Canazei","1487","708","va e vieni",65,820
"Col Verde - Rosetta","Tonadico","1336","674","va e vieni",41,420
"Tarlenta - Rifugio Mantova","Peio","2856","992","va e vieni",101,860
